id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_03176,The Strategy of Passive Ecological Building Design Based on Guangxi's Climate Characteristics - A Case Study on the Garden Art Gallery of the 12th China (Nanning) International Garden Expo,2021,ANP,nao,nao,sim,ANP
REG_03230,Improving lighting efficiency in existing art museums: a case study,2021,optimization,nao,nao,nao,
REG_03230,Improving lighting efficiency in existing art museums: a case study,2021,life-cycle cost,nao,nao,nao,
REG_03230,Improving lighting efficiency in existing art museums: a case study,2021,framework,nao,nao,nao,
REG_03334,Evaluation of facilities management sustainable parameters for improving operational efficiency,2021,framework,nao,nao,nao,
REG_03349,Exploring the Acceptance of Life Cycle Cost for Residential Projects in India,2021,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03349,Exploring the Acceptance of Life Cycle Cost for Residential Projects in India,2021,life-cycle cost,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,BIM,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,digital twin,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03359,From BIM to digital twins: A systematic review of the evolution of intelligent building representations in the AEC-FM industry,2021,IoT,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_03383,Occupants’ Behavioral Analysis for the Optimization of Building Operation and Maintenance: A Case Study to Improve the Use of Elevators in a University Building,2021,optimization,nao,nao,nao,
